Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
17,Female,Epe (Public),Artisan,1-3 hours,No,74,76,Yes,Good,Not confident,No,Uncomfortable,Excellent,Always,"Extra lessons, More past questions",More teachers,No,Fail
17,Female,Epe (Public),Artisan,1-3 hours,Yes,88,96,Yes,Poor,Confident,Yes,Uncomfortable,Excellent,Never,Counseling,More teachers,Yes,Pass
19,Male,Lekki (Private),Civil servant,1-3 hours,No,48,77,No,Excellent,Not confident,No,Neutral,Poor,Often,Better textbooks,More practical lessons,No,Fail
19,Male,Lekki (Private),Business owner,More than 5 hours,Yes,48,42,No,Excellent,Confident,Yes,Uncomfortable,Good,Never,"Tutors, Counseling",More practical lessons,Yes,Fail
19,Female,Others,Trader,1-3 hours,Yes,41,99,Yes,Average,Confident,Yes,Uncomfortable,Good,Always,Tutors,Extra classes,No,Fail
17,Female,Ikorodu (Public),Trader,1-3 hours,No,95,93,No,Poor,Very confident,No,Uncomfortable,Good,Never,"Extra lessons, Counseling, More past questions",More practical lessons,Yes,Fail
19,Female,Lekki (Private),Business owner,3-5 hours,No,90,49,Yes,Good,Somewhat confident,Yes,Uncomfortable,Poor,Never,"Tutors, More past questions",More practical lessons,Yes,Fail
18,Female,Lekki (Private),Teacher,More than 5 hours,Yes,70,98,No,Excellent,Not confident,No,Neutral,Excellent,Often,Tutors,More teachers,Yes,Fail
17,Female,Others,Trader,More than 5 hours,Yes,64,74,No,Excellent,Somewhat confident,Yes,Neutral,Excellent,Always,More past questions,Extra classes,No,Fail
18,Male,Others,Artisan,3-5 hours,Yes,96,85,No,Good,Confident,No,Neutral,Good,Occasionally,Counseling,Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Trader,3-5 hours,No,62,67,No,Average,Somewhat confident,No,Uncomfortable,Poor,Occasionally,"Tutors, Counseling",More practical lessons,No,Fail
20,Female,Ikorodu (Public),Trader,More than 5 hours,Yes,61,82,No,Good,Somewhat confident,Yes,Neutral,Excellent,Never,"Counseling, Better textbooks",Improved facilities,No,Fail
20,Female,Epe (Public),Trader,1-3 hours,No,70,80,No,Excellent,Not confident,Yes,Comfortable,Poor,Often,"Tutors, Extra lessons, Counseling",More practical lessons,No,Fail
20,Female,Lekki (Private),Civil servant,More than 5 hours,Yes,41,87,Yes,Good,Confident,No,Uncomfortable,Fair,Often,Counseling,More teachers,Yes,Fail
18,Male,Victoria Island (Private),Civil servant,1-3 hours,No,84,50,Yes,Poor,Somewhat confident,No,Comfortable,Fair,Always,Extra lessons,Extra classes,Yes,Fail
20,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,65,91,Yes,Good,Confident,No,Comfortable,Excellent,Never,"Extra lessons, Better textbooks",Improved facilities,Yes,Fail
17,Male,Ikorodu (Public),Teacher,Less than 1 hour,No,53,55,Yes,Excellent,Not confident,No,Comfortable,Good,Always,Counseling,Extra classes,No,Fail
18,Female,Epe (Public),Artisan,Less than 1 hour,Yes,51,73,No,Average,Somewhat confident,Yes,Neutral,Fair,Occasionally,Tutors,Extra classes,Yes,Fail
20,Female,Epe (Public),Teacher,More than 5 hours,No,89,61,No,Good,Very confident,No,Uncomfortable,Fair,Always,Tutors,Extra classes,Yes,Fail
19,Female,Epe (Public),Business owner,3-5 hours,Yes,57,54,No,Average,Confident,No,Uncomfortable,Excellent,Always,"Tutors, Counseling, More past questions",Extra classes,No,Fail
19,Female,Lekki (Private),Trader,1-3 hours,Yes,97,94,Yes,Good,Very confident,Yes,Uncomfortable,Poor,Occasionally,Better textbooks,Extra classes,No,Pass
18,Female,Others,Civil servant,More than 5 hours,No,47,42,Yes,Poor,Not confident,No,Comfortable,Fair,Never,"Tutors, Better textbooks, Counseling",More teachers,Yes,Fail
19,Male,Victoria Island (Private),Teacher,More than 5 hours,Yes,92,67,No,Excellent,Confident,Yes,Neutral,Fair,Always,"More past questions, Counseling, Better textbooks",More teachers,No,Pass
18,Male,Ikorodu (Public),Teacher,More than 5 hours,Yes,55,48,Yes,Poor,Not confident,Yes,Neutral,Fair,Occasionally,"More past questions, Better textbooks",Extra classes,Yes,Fail
